source_name,source_url,source_publish_date,source_access_date,organization_name_raw,normalized_organization_name,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,confidence_score,gpo_name,gpo_confidence,is_confirmed_gpo_member,notes,extraction_method,created_at
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Phoebe Worth,Phoebe Worth,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Phoebe Worth,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.021627
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Healthcare,Piedmont Healthcare,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Healthcare,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.021772
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Athens Regional,Piedmont Athens Regional,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Athens Regional,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.021866
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Atlanta,Piedmont Atlanta,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Atlanta,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.021951
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Augusta,Piedmont Augusta,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Augusta,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022034
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Cartersville,Piedmont Cartersville,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Cartersville,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022117
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Columbus Regional,Piedmont Columbus Regional,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Columbus Regional,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022208
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Eastside Medical Center,Piedmont Eastside Medical Center,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Eastside Medical Center,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022296
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Fayette,Piedmont Fayette,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Fayette,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022382
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Henry,Piedmont Henry,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Henry,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022466
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Macon North Hospital,Piedmont Macon North Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Macon North Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022604
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Midtown Campus,Piedmont Midtown Campus,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Midtown Campus,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022792
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Mountainside,Piedmont Mountainside,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Mountainside,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022909
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Newnan,Piedmont Newnan,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Newnan,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.022999
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Newton,Piedmont Newton,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Newton,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.023085
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Piedmont Northside Campus,Piedmont Northside Campus,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Piedmont Northside Campus,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.023178
